page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
64,8192,2a,matriz.log,6023,2037,0.207467
64,16384,2a,matriz.log,3154,1144,0.255664
2,128,FIFO,matriz.log,36893,8637,0.221805
2,256,FIFO,matriz.log,20441,5349,0.305884
2,512,FIFO,matriz.log,10669,3285,0.419811
2,1024,FIFO,matriz.log,6097,2033,0.472160
2,2048,FIFO,matriz.log,4027,1351,0.537209
2,4096,FIFO,matriz.log,3367,724,0.805546
2,8192,FIFO,matriz.log,2994,0,1.036192
2,16384,FIFO,matriz.log,2994,0,1.036510
4,128,FIFO,matriz.log,81638,18176,0.175404
4,256,FIFO,matriz.log,30422,7592,0.213343
4,512,FIFO,matriz.log,17523,4944,0.291989
4,1024,FIFO,matriz.log,8551,2859,0.395670
4,2048,FIFO,matriz.log,4850,1662,0.374714
4,4096,FIFO,matriz.log,3264,1048,0.516112
4,8192,FIFO,matriz.log,2798,407,0.688138
4,16384,FIFO,matriz.log,2543,0,0.904371
8,128,FIFO,matriz.log,211346,47010,0.160177
8,256,FIFO,matriz.log,77190,17375,0.176254
8,512,FIFO,matriz.log,27104,6919,0.222363
8,1024,FIFO,matriz.log,15410,4516,0.290136
8,2048,FIFO,matriz.log,6672,2302,0.396743
8,4096,FIFO,matriz.log,3840,1402,0.532064
8,8192,FIFO,matriz.log,2778,885,0.471360
8,16384,FIFO,matriz.log,2326,165,0.723587
16,128,FIFO,matriz.log,324507,54843,0.152610
16,256,FIFO,matriz.log,205727,46099,0.159960
16,512,FIFO,matriz.log,70151,15982,0.175231
16,1024,FIFO,matriz.log,22815,6120,0.212854
16,2048,FIFO,matriz.log,12021,3824,0.288186
16,4096,FIFO,matriz.log,4910,1827,0.380056
16,8192,FIFO,matriz.log,3027,1141,0.355936
16,16384,FIFO,matriz.log,2294,711,0.490353
32,128,FIFO,matriz.log,403797,56910,0.149083
32,256,FIFO,matriz.log,314398,54456,0.153268
32,512,FIFO,matriz.log,188541,43099,0.159441
32,1024,FIFO,matriz.log,59061,13547,0.173691
32,2048,FIFO,matriz.log,19309,5295,0.216942
32,4096,FIFO,matriz.log,9506,3150,0.292698
32,8192,FIFO,matriz.log,4013,1500,0.335841
32,16384,FIFO,matriz.log,2461,919,0.334534
64,128,FIFO,matriz.log,458585,59417,0.147751
64,256,FIFO,matriz.log,350270,56339,0.149198
64,512,FIFO,matriz.log,271380,53923,0.152741
64,1024,FIFO,matriz.log,137751,33692,0.157651
64,2048,FIFO,matriz.log,40262,9338,0.172363
64,4096,FIFO,matriz.log,14861,4231,0.213760
64,8192,FIFO,matriz.log,6848,2416,0.278580
64,16384,FIFO,matriz.log,3175,1198,0.315520
2,128,Random,matriz.log,41918,9299,0.275983
2,256,Random,matriz.log,23310,5820,0.331028
2,512,Random,matriz.log,12196,3525,0.497395
2,1024,Random,matriz.log,7132,2255,0.445538
2,2048,Random,matriz.log,4781,1539,0.503377
2,4096,Random,matriz.log,3571,770,0.766671
2,8192,Random,matriz.log,2994,0,1.032922
2,16384,Random,matriz.log,2994,0,1.033060
